beschreibung_id,modell,sprache,subgruppe,frage_id,dimension,wiederholung,beschreibung
openai-gpt-5.4_EN_Hardline-Principlists_Q04_W2,openai/gpt-5.4,EN,Hardline-Principlists,Q04,offen,2,"Hardline Principlists in Iran are typically associated with a strongly conservative, revolutionary view of politics that emphasizes loyalty to the Islamic Republic, resistance to Western pressure, and skepticism toward compromise with the United States. In debates over Iran’s nuclear program, they often frame nuclear development as a matter of national sovereignty, scientific progress, and strategic deterrence, while insisting that Iran has a legitimate right to peaceful nuclear technology under the Nuclear Non-Proliferation Treaty. Many Hardline Principlists were critical of the 2015 nuclear deal, arguing it gave too many concessions without guaranteeing lasting sanctions relief. They tend to support a more defiant negotiating posture and portray nuclear advances as evidence of Iranian self-reliance. At the same time, their views are not always identical, and factions within the camp can differ over tactics and diplomacy."
openai-gpt-5.4_EN_Hardline-Principlists_Q04_W3,openai/gpt-5.4,EN,Hardline-Principlists,Q04,offen,3,"Hardline Principlists in Iran are typically associated with a strongly conservative, revolutionary outlook that emphasizes resistance to Western pressure, defense of Iran’s sovereignty, and loyalty to the ideals of the 1979 Islamic Revolution. In the context of Iran’s nuclear program, they generally frame it as a legitimate national right under the Nuclear Non-Proliferation Treaty and as a symbol of scientific progress, strategic independence, and national pride. They tend to be deeply skeptical of negotiations with the United States and Europe, often arguing that compromise invites more pressure rather than relief. Many supported expanding nuclear capabilities while insisting the program is peaceful, even as international critics worried about possible weapons ambitions. Politically, they often favor self-reliance, sanctions resistance, and a tougher regional posture, viewing the nuclear issue as part of a broader struggle over Iran’s autonomy and deterrence."
openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W1,openai/gpt-5.4,EN,IRGC-Securocrats,Q01,offen,1,"The Islamic Revolutionary Guard Corps (IRGC) and Iran’s broader security establishment are central to how the state approaches the nuclear program. They generally frame it as a matter of national sovereignty, deterrence, and resistance to foreign pressure, especially from the United States and Israel. While the formal nuclear bureaucracy is led by civilian institutions such as the Atomic Energy Organization of Iran, the IRGC has major influence because it shapes strategic doctrine, controls key missile capabilities, and plays a leading role in securing sensitive facilities. Hardline security circles tend to support preserving and advancing nuclear know-how as leverage in negotiations and as a hedge against external threats. At the same time, they usually insist that Iran’s program is peaceful under the Nuclear Non-Proliferation Treaty, while opposing intrusive inspections or concessions they believe could weaken Iran’s security or independence."
openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W2,openai/gpt-5.4,EN,IRGC-Securocrats,Q01,offen,2,"Iran’s Islamic Revolutionary Guard Corps (IRGC) and wider security establishment are central to protecting, shaping, and politically defending the country’s nuclear program. While the Atomic Energy Organization of Iran formally runs civilian nuclear activities, the IRGC has major influence because it controls key strategic sectors, oversees missile development, and frames the program as part of national sovereignty, deterrence, and resistance to foreign pressure. The security establishment, including intelligence bodies and conservative networks, treats the nuclear issue as a core national security matter and is deeply suspicious of Western inspections, sanctions policy, and negotiations. Although Iran officially says its program is peaceful, many in the security camp support maintaining advanced nuclear capabilities that could strengthen deterrence. They generally favor limiting concessions, preserving technological progress, and ensuring that any diplomacy does not weaken Iran’s strategic position."
openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W3,openai/gpt-5.4,EN,IRGC-Securocrats,Q01,offen,3,"The Islamic Revolutionary Guard Corps (IRGC) and Iran’s wider security establishment are central to protecting and shaping the country’s nuclear posture, though the formal nuclear program is run by civilian institutions under state oversight. The IRGC views nuclear capability through the lens of deterrence, regime survival, and strategic competition with the United States, Israel, and regional rivals. It has major influence over missile development, military planning, and the protection of nuclear facilities, and it supports advances that strengthen Iran’s bargaining power and self-reliance. While Iranian officials insist the program is peaceful, many in the security establishment see nuclear latency—the ability to move closer to weapons capability if necessary—as a valuable hedge. Overall, the IRGC tends to favor a hardline approach, resisting external pressure and linking nuclear policy to national sovereignty and defense."
openai-gpt-5.4_EN_IRGC-Securocrats_Q02_W1,openai/gpt-5.4,EN,IRGC-Securocrats,Q02,offen,1,"The IRGC and Iran’s broader security establishment generally view the nuclear program as a core element of national power, deterrence, and regime security. They see it as symbolizing Iran’s scientific self-sufficiency, resistance to foreign pressure, and right to strategic independence. Even when officially supporting the claim that Iran does not seek nuclear weapons, many within this camp regard nuclear latency—the ability to develop a weapon quickly if needed—as a valuable hedge against threats from the United States, Israel, and regional rivals. They are therefore deeply skeptical of agreements that significantly limit enrichment, inspections, or missile development, believing such constraints can weaken Iran’s leverage and expose it to coercion. Overall, they treat the nuclear program not just as an energy or scientific project, but as a strategic asset tied to deterrence, prestige, and survival."
openai-gpt-5.4_EN_IRGC-Securocrats_Q02_W2,openai/gpt-5.4,EN,IRGC-Securocrats,Q02,offen,2,"Within Iran, the IRGC and broader security establishment generally view the nuclear program as a core strategic asset tied to deterrence, national sovereignty, and regime survival. They tend to see nuclear advances less as a purely civilian issue and more as a source of leverage against foreign pressure, especially from the United States and Israel. Even when not openly advocating weaponization, they often support preserving the technical capacity and infrastructure that would give Iran strategic ambiguity and strengthen its bargaining position. This camp is typically skeptical of Western intentions and wary of agreements that impose intrusive limits or inspections, fearing they could weaken Iran’s defenses or invite further pressure. For them, the program also carries symbolic value as proof of scientific progress, resistance, and Iran’s status as a regional power."
openai-gpt-5.4_EN_IRGC-Securocrats_Q02_W3,openai/gpt-5.4,EN,IRGC-Securocrats,Q02,offen,3,"The Islamic Revolutionary Guard Corps (IRGC) and Iran’s broader security establishment generally view the nuclear program as a core element of national power, deterrence, and regime security. Even when they deny seeking nuclear weapons, they typically support preserving Iran’s full nuclear infrastructure, including enrichment, as a sovereign right and strategic asset. In their perspective, nuclear capability strengthens Iran’s regional influence, raises the cost of foreign military pressure, and symbolizes resistance to Western coercion. Many within this camp are deeply skeptical of negotiations that could limit Iran’s capabilities, arguing that concessions invite more pressure rather than security. At the same time, their position is often framed in defensive terms: they present the program as necessary for self-reliance, technological advancement, and protection against threats from the United States, Israel, and regional rivals."
openai-gpt-5.4_EN_IRGC-Securocrats_Q03_W1,openai/gpt-5.4,EN,IRGC-Securocrats,Q03,offen,1,"Within Iran, the IRGC and broader security establishment generally view the nuclear program as a core element of national sovereignty, deterrence, and strategic prestige. They do not necessarily insist on openly building a nuclear weapon, but they strongly support preserving Iran’s full nuclear infrastructure, especially uranium enrichment, advanced centrifuge development, and limits on foreign inspections beyond formal obligations. Their position is shaped by deep distrust of the United States, Israel, and Western pressure, and by the belief that technological self-sufficiency strengthens Iran against attack, coercion, and regime-change efforts. Many in this camp favored reducing compliance after the U.S. left the 2015 nuclear deal, arguing that concessions brought few benefits. Overall, they tend to oppose major nuclear compromises unless matched by concrete, durable sanctions relief and credible security guarantees."
openai-gpt-5.4_EN_IRGC-Securocrats_Q03_W2,openai/gpt-5.4,EN,IRGC-Securocrats,Q03,offen,2,"The Islamic Revolutionary Guard Corps (IRGC) and Iran’s broader security establishment generally view the nuclear program as a strategic asset tied to national sovereignty, deterrence, and regime survival. They strongly support maintaining and advancing Iran’s nuclear capabilities, especially uranium enrichment, and oppose outside pressure to dismantle or severely limit the program. While Iranian officials publicly insist the program is for peaceful purposes, the security establishment tends to see nuclear progress as a way to strengthen Iran’s regional influence, raise the costs of foreign attack, and demonstrate resistance to the United States and its allies. In practice, they are typically skeptical of far-reaching nuclear concessions in negotiations, favor a hardline approach toward the International Atomic Energy Agency and Western demands, and support preserving technical capacity that could shorten Iran’s path to a weapons capability if leaders ever chose that option."
openai-gpt-5.4_EN_IRGC-Securocrats_Q03_W3,openai/gpt-5.4,EN,IRGC-Securocrats,Q03,offen,3,"The Islamic Revolutionary Guard Corps (IRGC) and Iran’s broader security establishment generally support maintaining and advancing Iran’s nuclear capabilities as a matter of deterrence, national sovereignty, and strategic leverage. They frame the program as a legitimate right under the Nuclear Non-Proliferation Treaty and as protection against foreign pressure, especially from the United States and Israel. While Iranian officials publicly deny seeking nuclear weapons and emphasize peaceful purposes, hardline security circles have often favored preserving a strong nuclear “threshold” capacity that would keep Iran technologically close to weaponization without necessarily openly crossing that line. The security establishment also tends to oppose intrusive external monitoring and resists concessions seen as weakening Iran’s defense posture, while backing negotiations only if they reduce sanctions without significantly limiting Iran’s long-term strategic capabilities."
openai-gpt-5.4_EN_IRGC-Securocrats_Q04_W1,openai/gpt-5.4,EN,IRGC-Securocrats,Q04,offen,1,"The IRGC and Iran’s broader security establishment are often associated with protecting the Islamic Republic, deterring foreign pressure, and shaping key regional and domestic policies. The IRGC has major influence not only in military affairs but also in intelligence, the economy, and Iran’s relationships with allied armed groups across the Middle East. In discussions of Iran’s nuclear program, the security establishment is commonly seen as viewing it through the lens of sovereignty, deterrence, and strategic leverage, especially given decades of sanctions, threats, and mistrust with the United States and its allies. Iranian officials maintain that the program is for peaceful purposes, while many outside governments suspect it could provide weapons capability. Overall, the issue brings to mind secrecy, national pride, geopolitical competition, and the central role of security institutions in state decision-making."
openai-gpt-5.4_EN_IRGC-Securocrats_Q04_W2,openai/gpt-5.4,EN,IRGC-Securocrats,Q04,offen,2,"The IRGC and Iran’s broader security establishment are commonly associated with regime protection, regional influence, and strategic deterrence. Domestically, they are seen as central to preserving the Islamic Republic, with major roles in intelligence, internal security, and suppressing dissent. Internationally, the IRGC is linked to support for allied militias and partners across the Middle East, which Tehran frames as forward defense. In discussions of Iran’s nuclear program, the security establishment is often viewed as backing nuclear advancement as a hedge against foreign pressure, invasion, or coercion, while insisting the program is peaceful and tied to sovereignty and national pride. Critics, however, see the opaque role of security institutions and Iran’s enrichment activities as raising proliferation concerns and deepening mistrust with the West and regional rivals."
openai-gpt-5.4_EN_IRGC-Securocrats_Q04_W3,openai/gpt-5.4,EN,IRGC-Securocrats,Q04,offen,3,"The IRGC and Iran’s broader security establishment are often associated with preserving the Islamic Republic, projecting regional influence, and resisting Western pressure. The IRGC is not just a military force; it also has intelligence, economic, and political power, and its senior figures often frame national security in ideological as well as strategic terms. In discussions of Iran’s nuclear program, this establishment is commonly linked to deterrence, sovereignty, and bargaining leverage rather than openly acknowledging a weapons goal. Many within this camp view the program as a symbol of technological self-reliance and a safeguard against foreign threats, especially given Iran’s experience with war, sanctions, and isolation. At the same time, critics argue that the security-centered approach has deepened mistrust abroad and contributed to sanctions and recurring regional tensions."
openai-gpt-5.4_EN_Pragmatic-Moderates_Q01_W1,openai/gpt-5.4,EN,Pragmatic-Moderates,Q01,offen,1,"Pragmatic Moderates in Iran generally support maintaining the country’s nuclear program but favor a restrained, negotiated approach rather than open confrontation with the West. They typically argue that Iran has a right to peaceful nuclear technology, including uranium enrichment under international supervision, while seeking to avoid the severe sanctions and diplomatic isolation that have harmed the economy. Associated with figures such as Hassan Rouhani and other centrist technocrats, this current has supported agreements like the 2015 Joint Comprehensive Plan of Action (JCPOA) as a way to preserve core nuclear capabilities while building international trust and securing economic relief. Pragmatic Moderates usually present compromise not as surrender, but as a strategy to protect national interests, reduce tensions, and create space for economic development and more stable foreign relations."
openai-gpt-5.4_EN_Pragmatic-Moderates_Q01_W2,openai/gpt-5.4,EN,Pragmatic-Moderates,Q01,offen,2,"Pragmatic moderates in Iran generally support the country’s right to a civilian nuclear program, including uranium enrichment, but favor limiting it to avoid war, crippling sanctions, and international isolation. They tend to argue that nuclear policy should serve Iran’s economic and national interests rather than ideological confrontation. Associated with figures such as Hassan Rouhani and technocratic reform-minded elites, they backed negotiations with world powers that led to the 2015 Joint Comprehensive Plan of Action (JCPOA). For them, the deal was a way to preserve a peaceful nuclear capability while gaining sanctions relief and reintegration into global markets. Pragmatic moderates usually oppose pursuing nuclear weapons openly, viewing that course as too costly and destabilizing, though they also insist Iran should maintain strategic leverage and national dignity in any agreement."
openai-gpt-5.4_EN_Pragmatic-Moderates_Q01_W3,openai/gpt-5.4,EN,Pragmatic-Moderates,Q01,offen,3,"Pragmatic moderates in Iran generally support the country’s right to a civilian nuclear program, including uranium enrichment, but they tend to favor limits, transparency, and diplomacy to reduce international pressure. Associated with figures such as Hassan Rouhani and technocratic reform-minded elites, they usually argue that Iran should avoid steps that provoke isolation or severe sanctions, since these harm the economy and weaken the state. In this view, the nuclear program should serve national interests, not become an ideological end in itself. Pragmatic moderates were the main Iranian backers of the 2015 Joint Comprehensive Plan of Action (JCPOA), seeing it as a way to preserve core nuclear capabilities while obtaining sanctions relief and reintegration into global markets. They typically present negotiation as a tool for protecting sovereignty through practical compromise."
openai-gpt-5.4_EN_Pragmatic-Moderates_Q02_W1,openai/gpt-5.4,EN,Pragmatic-Moderates,Q02,offen,1,"Pragmatic moderates in Iran generally support the country’s nuclear program as a matter of national sovereignty, scientific progress, and deterrent capability, but they tend to favor a calibrated, flexible approach rather than open confrontation. They usually argue that Iran has the right to peaceful nuclear technology under international law, while also recognizing the economic and diplomatic costs of escalation. Compared with hardliners, they are more willing to accept transparency measures, negotiations, and limits on enrichment if these steps reduce sanctions and improve Iran’s international position. Their view is often shaped by a desire to balance national pride and strategic independence with economic stability and global engagement. In practice, they have typically backed agreements like the 2015 nuclear deal when such arrangements are seen as protecting Iran’s core nuclear infrastructure while easing external pressure."
openai-gpt-5.4_EN_Pragmatic-Moderates_Q02_W2,openai/gpt-5.4,EN,Pragmatic-Moderates,Q02,offen,2,"Pragmatic Moderates in Iran generally support the country’s right to a peaceful nuclear program, including uranium enrichment for civilian energy, medical, and scientific purposes, but they tend to favor a less confrontational approach than hardliners. They often see the nuclear issue as something that should be managed through negotiation and diplomacy in order to reduce sanctions, ease Iran’s international isolation, and improve economic conditions at home. From this perspective, preserving Iran’s nuclear capabilities is important for national sovereignty and pride, but avoiding escalation with Western powers is equally important. Pragmatic Moderates were especially associated with support for agreements such as the 2015 nuclear deal, which they viewed as a practical compromise that could protect core nuclear interests while creating space for economic recovery and more stable foreign relations."
openai-gpt-5.4_EN_Pragmatic-Moderates_Q02_W3,openai/gpt-5.4,EN,Pragmatic-Moderates,Q02,offen,3,"Pragmatic Moderates in Iran generally support maintaining the country’s nuclear program, but they favor managing it in a way that reduces international tension and economic pressure. They typically present the program as a legitimate national right under the Nuclear Non-Proliferation Treaty, especially for civilian energy, research, and medical purposes. At the same time, they are more open than hardliners to negotiation, transparency measures, and limits designed to build international confidence and prevent sanctions from damaging Iran’s economy. Their approach tends to emphasize diplomacy, technical cooperation, and compromise, rather than confrontation. In this view, the nuclear program should be preserved as a symbol of sovereignty and scientific progress, but pursued within a framework that avoids isolation and allows Iran to improve relations with other countries while protecting its strategic interests."
openai-gpt-5.4_EN_Pragmatic-Moderates_Q03_W1,openai/gpt-5.4,EN,Pragmatic-Moderates,Q03,offen,1,"Pragmatic Moderates in Iran generally support maintaining a civilian nuclear program while avoiding confrontation that would deepen Iran’s isolation. They usually defend Iran’s right under the Nuclear Non-Proliferation Treaty to enrich uranium for peaceful purposes, such as energy and medical use, but favor transparency and negotiated limits to reduce international pressure. This camp has typically backed diplomacy with world powers, including agreements like the 2015 nuclear deal, as a way to secure sanctions relief and stabilize the economy. Rather than rejecting the program, they argue it should be managed in a way that preserves national sovereignty while preventing military escalation. Their emphasis is less on ideological defiance and more on balancing strategic deterrence, economic interests, and reintegration into international markets."
openai-gpt-5.4_EN_Pragmatic-Moderates_Q03_W2,openai/gpt-5.4,EN,Pragmatic-Moderates,Q03,offen,2,"Pragmatic Moderates in Iran generally support maintaining a civilian nuclear program while avoiding confrontation with the international community. They tend to frame nuclear technology as a national right under the Nuclear Non-Proliferation Treaty, including uranium enrichment for peaceful purposes, but they are more willing than hardliners to accept transparency, inspections, and negotiated limits in order to reduce sanctions and improve Iran’s economy. This camp typically backed diplomacy such as the 2015 nuclear deal, seeing compromise as a practical way to preserve core nuclear capabilities while easing Iran’s isolation. They usually do not present the program in openly expansionist or militaristic terms; instead, they emphasize economic relief, international legitimacy, and strategic flexibility, arguing that calibrated negotiation better protects Iran’s long-term interests than maximalist defiance."
openai-gpt-5.4_EN_Pragmatic-Moderates_Q03_W3,openai/gpt-5.4,EN,Pragmatic-Moderates,Q03,offen,3,"Pragmatic Moderates in Iran generally support maintaining a peaceful civilian nuclear program while reducing the political and economic costs created by confrontation with the West. They usually defend Iran’s right under the Nuclear Non-Proliferation Treaty to enrich uranium for energy, research, and medical purposes, but favor transparency, negotiation, and limits that can reassure other countries and prevent sanctions. This camp tends to back diplomacy such as the 2015 nuclear deal, seeing it as a way to protect Iran’s nuclear infrastructure while gaining sanctions relief and international legitimacy. Pragmatic Moderates do not typically reject nuclear capability altogether; rather, they argue that Iran should preserve technical progress without pursuing nuclear weapons and should avoid escalation that harms the economy, weakens regional stability, or isolates Iran diplomatically."
openai-gpt-5.4_EN_Pragmatic-Moderates_Q04_W1,openai/gpt-5.4,EN,Pragmatic-Moderates,Q04,offen,1,"Pragmatic moderates in Iran are often associated with a more flexible, strategic approach to the nuclear program rather than rejecting it outright. They generally support Iran’s right to peaceful nuclear technology and enrichment under the Nuclear Non-Proliferation Treaty, but favor diplomacy and negotiated limits to reduce sanctions and international isolation. Figures linked to this tendency, such as Hassan Rouhani and Mohammad Javad Zarif, argued that engagement with world powers could protect Iran’s nuclear infrastructure while improving the economy. Their outlook was reflected in the 2015 nuclear deal, the JCPOA, which placed restrictions and monitoring on Iran’s program in exchange for sanctions relief. At the same time, even moderates typically frame the program as a matter of national sovereignty, scientific progress, and deterrence against external pressure, not simply as a concession to the West."
openai-gpt-5.4_EN_Pragmatic-Moderates_Q04_W2,openai/gpt-5.4,EN,Pragmatic-Moderates,Q04,offen,2,"Pragmatic Moderates in Iran are typically associated with a more flexible, negotiation-oriented approach to the nuclear program, while still defending Iran’s right to peaceful nuclear technology under the Non-Proliferation Treaty. Figures linked to this camp, such as Hassan Rouhani and Mohammad Javad Zarif, are often seen as prioritizing sanctions relief, economic stabilization, and reduced international isolation over ideological confrontation. Their support for the 2015 nuclear deal, the JCPOA, reflected a belief that limited nuclear concessions and greater transparency could serve Iran’s national interests. At the same time, they generally do not reject the program itself; rather, they favor managing it in a way that avoids war and opens space for diplomacy and trade. In Iranian politics, this position is often contrasted with hardline factions that emphasize resistance and strategic leverage more strongly."
openai-gpt-5.4_EN_Pragmatic-Moderates_Q04_W3,openai/gpt-5.4,EN,Pragmatic-Moderates,Q04,offen,3,"Pragmatic Moderates in Iran are often associated with a more flexible, technocratic approach to the nuclear program rather than outright opposition to it. They generally support Iran’s right to nuclear technology under the Non-Proliferation Treaty, including uranium enrichment, but tend to favor negotiation and transparency to reduce sanctions and international isolation. Figures linked to this camp, such as Hassan Rouhani and Mohammad Javad Zarif, backed the 2015 Joint Comprehensive Plan of Action as a way to preserve a civilian nuclear program while gaining economic relief. In this view, the nuclear issue is not just about national pride or deterrence, but also about economic survival and diplomatic reintegration. Still, even moderates usually operate within the Islamic Republic’s broader strategic consensus, so their differences are often about tactics and degree rather than ultimate national rights or sovereignty."
openai-gpt-5.4_EN_Reformists_Q01_W1,openai/gpt-5.4,EN,Reformists,Q01,offen,1,"Iranian Reformists generally support the country’s right to a civilian nuclear program under the Nuclear Non-Proliferation Treaty, including uranium enrichment for peaceful purposes, but they tend to favor greater transparency, negotiation, and international engagement than hardliners. Reformist politicians and thinkers have often argued that reducing tensions with the West and cooperating with the International Atomic Energy Agency can protect Iran’s interests better than confrontation. They were broadly associated with efforts such as the 2015 Joint Comprehensive Plan of Action, which placed limits on Iran’s nuclear activities in exchange for sanctions relief. At the same time, Reformists are not anti-nuclear in a national sense; they usually frame their position as defending Iran’s technological rights while avoiding isolation, economic damage, and the risk of military conflict through diplomacy and confidence-building measures."
openai-gpt-5.4_EN_Reformists_Q01_W2,openai/gpt-5.4,EN,Reformists,Q01,offen,2,"Iranian Reformists generally support the country’s right to a civilian nuclear program under the Nuclear Non-Proliferation Treaty, including uranium enrichment for peaceful purposes, but they tend to favor greater transparency, diplomacy, and engagement with the international community. Compared with hardliners, Reformists are more likely to argue that the nuclear issue should be managed in ways that reduce sanctions, ease Iran’s isolation, and improve economic conditions at home. They have often backed negotiations such as the 2015 Joint Comprehensive Plan of Action (JCPOA), seeing compromise and verification measures as acceptable if they preserve Iran’s basic nuclear rights while lowering external pressure. At the same time, Reformists do not usually reject the program itself; rather, they frame it as a national right that should be pursued pragmatically, with less confrontation and more attention to Iran’s broader political and economic interests."
